wid,category
12378333,FUNNY
12069887,FUNNY
12157618,FUNNY
12478153,FUNNY
12129342,FUNNY
12459567,FUNNY
12471918,FUNNY
12462884,FUNNY
12134900,FUNNY
12105459,FUNNY
12127512,FUNNY
12168414,DEVOTIONAL
12387020,DEVOTIONAL
12079893,DEVOTIONAL
12153400,DEVOTIONAL
12137718,DEVOTIONAL
12104695,DEVOTIONAL
12386204,DEVOTIONAL
12478453,DEVOTIONAL
12460645,DEVOTIONAL
12416847,DEVOTIONAL
12120538,SHAYARI
12462922,SHAYARI
12116095,SHAYARI
12099245,SHAYARI
12119230,SHAYARI
12400336,SHAYARI
12479078,SHAYARI
12478472,SHAYARI
12101564,SHAYARI
12152839,SHAYARI
12462055,SONGS
12461814,SONGS
12402498,SONGS
12385464,SONGS
12402847,SONGS
12385304,SONGS
12456632,SONGS
12463698,SONGS
12459805,SONGS
12395265,SONGS
12461724,MOTIVATIONAL
12478810,MOTIVATIONAL
12449883,MOTIVATIONAL
12126417,MOTIVATIONAL
12082438,MOTIVATIONAL
12076610,MOTIVATIONAL
12152169,MOTIVATIONAL
12101751,MOTIVATIONAL
12379308,MOTIVATIONAL
12460966,MOTIVATIONAL
12393063,UGC
12371504,UGC
12459212,UGC
12377319,UGC
12124087,UGC
12403312,UGC
12438292,UGC
12454607,UGC
12466597,UGC
12394801,UGC
12149105,WISHES
12151380,WISHES
12381719,WISHES
12377756,WISHES
12126975,WISHES
12457690,WISHES
12377274,WISHES
12085345,WISHES
12380935,WISHES
12072738,WISHES